"question_id","option","primary_axis","target_axis","target_credit","low_evidence","weight","is_reverse","is_observer","is_neutral","is_diagnostic_null"
"OB-4","c","B","OB",0,0,1,false,true,false,false
"OB-4","d","D","OB",0,0,1,false,true,false,false
"OB-5","a","OB","OB",1,0,1,true,true,false,false
"OB-5","b","A","OB",0,1,1,true,true,false,false
"OB-5","c","B","OB",0,0.5,1,true,true,false,false
"OB-5","d","D","OB",0,0.5,1,true,true,false,false
"SW-1","a","OB","SW",1,0,1.5,false,true,false,false
"SW-1","b","A","SW",0,0,1.5,false,true,false,false
"SW-1","c","B","SW",0,0,1.5,false,true,false,false
"SW-1","d","D","SW",0,0,1.5,false,true,false,false
"SW-2","a","OB","SW",1,0,1.5,false,true,false,false
"SW-2","b","A","SW",0,0,1.5,false,true,false,false
"SW-2","c","B","SW",0,0,1.5,false,true,false,false
"SW-2","d","D","SW",0,0,1.5,false,true,false,false
"SW-3","a","OB","SW",1,0,1,false,true,false,false
"SW-3","b","A","SW",0,0,1,false,true,false,false
"SW-3","c","B","SW",0,0,1,false,true,false,false
"SW-3","d","D","SW",0,0,1,false,true,false,false
"SW-4","a","OB","SW",1,0,1,false,true,false,false
"SW-4","b","A","SW",0,0,1,false,true,false,false
"SW-4","c","B","SW",0,0,1,false,true,false,false
"SW-4","d","D","SW",0,0,1,false,true,false,false
"SW-5","a","OB","SW",1,0,1,false,true,false,false
"SW-5","b","A","SW",0,0,1,false,true,false,false
"SW-5","c","B","SW",0,0,1,false,true,false,false
"SW-5","d","D","SW",0,0,1,false,true,false,false
"DR-1","a","DR","DR",1,0,1,false,false,false,false
"DR-1","b","AR","DR",0,0,1,false,false,false,false
"DR-1","c","BR","DR",0,0,1,false,false,false,false
"DR-1","d","AR","DR",0,0,1,false,false,false,false
"DR-2","a","DR","DR",1,0,1,false,false,false,false
"DR-2","b","AR","DR",0,0,1,false,false,false,false
"DR-2","c","BR","DR",0,0,1,false,false,false,false
"DR-2","d","AR","DR",0,0,1,false,false,false,false
"DR-3","a","DR","DR",1,0,1,false,false,false,false
"DR-3","b","AR","DR",0,0,1,false,false,false,false
"DR-3","c","BR","DR",0,0,1,false,false,false,false
"DR-3","d","null","DR",0,0,1,false,false,true,false
"BR-1","a","BR","BR",1,0,1,false,false,false,false
"BR-1","b","AR","BR",0,0,1,false,false,false,false
"BR-1","c","DR","BR",0,0,1,false,false,false,false
"BR-1","d","null","BR",0,0,1,false,false,true,false
"BR-2","a","BR","BR",1,0,1,false,false,false,false
"BR-2","b","AR","BR",0,0,1,false,false,false,false
"BR-2","c","BR","BR",0.5,0,1,false,false,false,false
"BR-2","d","DR","BR",0,0,1,false,false,false,false
"BR-3","a","BR","BR",1,0,1,false,false,false,false
"BR-3","b","AR","BR",0,0,1,false,false,false,false
"BR-3","c","DR","BR",0,0,1,false,false,false,false
"BR-3","d","null","BR",0,0,1,false,false,true,false
"AR-1","a","AR","AR",1,0,1,false,false,false,false
"AR-1","b","BR","AR",0,0,1,false,false,false,false
"AR-1","c","DR","AR",0,0,1,false,false,false,false
"AR-1","d","null","AR",0,0,1,false,false,true,false
"AR-2","a","AR","AR",1,0,1,false,false,false,false
"AR-2","b","BR","AR",0,0,1,false,false,false,false
"AR-2","c","DR","AR",0,0,1,false,false,false,false
"AR-2","d","DR","AR",0,0,1,false,false,false,false
"AR-3","a","AR","AR",1,0,1,false,false,false,false
"AR-3","b","BR","AR",0,0,1,false,false,false,false
"AR-3","c","DR","AR",0,0,1,false,false,false,false
"AR-3","d","AR","AR",0.5,0,1,false,false,false,false
"AG-1","a","AG","AG",1,0,1,false,false,false,false
"AG-1","b","null","AG",0.5,0,1,false,false,false,true
"AG-1","c","null","AG",0,0,1,false,false,true,false
"AG-1","d","A","AG",0,0,1,false,false,false,false
"AG-2","a","AG","AG",1,0,1,false,false,false,false
"AG-2","b","A","AG",0,0,1,false,false,false,false
"AG-2","c","D","AG",0,0,1,false,false,false,false
"AG-2","d","C","AG",0,0,1,false,false,false,false
"AG-3","a","AG","AG",1,0,1,false,false,false,false
"AG-3","b","A","AG",0,0,1,false,false,false,false
"AG-3","c","C","AG",0,0,1,false,false,false,false
"AG-3","d","D","AG",0,0,1,false,false,false,false
"RV-1","a","RV","RV",1,0,1,false,false,false,false
"RV-1","b","B","RV",0,0,1,false,false,false,false
"RV-1","c","C","RV",0,0,1,false,false,false,false
"RV-1","d","D","RV",0,0,1,false,false,false,false
"RV-2","a","RV","RV",1,0,1,false,false,false,false
"RV-2","b","B","RV",0,0,1,false,false,false,false
"RV-2","c","C","RV",0,0,1,false,false,false,false
"RV-2","d","D","RV",0,0,1,false,false,false,false
"RV-3","a","RV","RV",1,0,1,false,false,false,false
"RV-3","b","A","RV",0,0,1,false,false,false,false
"RV-3","c","C","RV",0,0,1,false,false,false,false
"RV-3","d","D","RV",0,0,1,false,false,false,false
"IM-1","a","IM","IM",1,0,1,false,false,false,false
"IM-1","b","A","IM",0,0,1,false,false,false,false
"IM-1","c","B","IM",0,0,1,false,false,false,false
"IM-1","d","D","IM",0,0,1,false,false,false,false
"IM-2","a","IM","IM",1,0,1,false,false,false,false
"IM-2","b","A","IM",0,0,1,false,false,false,false
"IM-2","c","B","IM",0,0,1,false,false,false,false
"IM-2","d","D","IM",0,0,1,false,false,false,false
"IM-3","a","IM","IM",1,0,1,false,false,false,false
"IM-3","b","A","IM",0,0,1,false,false,false,false
"IM-3","c","B","IM",0,0,1,false,false,false,false
"IM-3","d","D","IM",0,0,1,false,false,false,false
